county,pop_2023,felExp_2023,misdExp_2023,totalExp_2023,pop_2022,felExp_2022,misdExp_2022,totalExp_2022,pop_2021,felExp_2021,misdExp_2021,totalExp_2021,pop_2020,felExp_2020,misdExp_2020,totalExp_2020,pop_2019,felExp_2019,misdExp_2019,totalExp_2019
Hill,"38,061","$278,530","$121,576","$438,535","36,722","$206,470","$101,744","$339,367","37,470","$180,210","$76,804","$281,414","37,470","$181,342","$117,391","$338,100","36,532","$216,228","$109,470","$358,995"
Hockley,"21,266","$268,304","$33,000","$314,653","21,116","$356,520","$26,400","$398,282","22,603","$357,150","$25,355","$403,040","22,603","$75,540","$22,100","$117,104","23,232","$128,204","$34,000","$169,969"
Hood,"66,251","$279,560","$127,801","$552,618","64,228","$235,941","$103,221","$421,717","61,387","$188,663","$120,811","$373,002","61,387","$140,740","$92,025","$311,927","61,334","$158,592","$133,503","$405,502"
Hopkins,"38,296","$196,600","$40,468","$293,052","37,368","$193,549","$39,400","$250,098","37,475","$218,496","$16,450","$271,290","37,475","$150,050","$22,350","$194,649","37,163","$187,466","$16,100","$225,868"
Houston,"21,475","$224,338","$80,500","$333,537","22,262","$163,954","$58,955","$246,921","23,439","$104,025","$47,613","$173,149","23,439","$137,687","$51,198","$209,395","23,319","$203,636","$54,171","$298,539"
Howard,"33,102","$179,499","$85,150","$287,162","34,340","$125,044","$68,400","$210,234","36,421","$109,813","$51,700","$180,083","36,421","$103,988","$35,000","$171,728","36,004","$146,500","$54,500","$253,046"
Hudspeth,"3,451","$5,236",$143,"$40,189","3,220","$2,474",$0,"$40,928","3,683","$3,567",$0,"$37,123","3,683","$6,354",$0,"$39,911","3,655","$10,727","$1,400","$36,127"
Hunt,"110,950","$936,401","$329,457","$1,439,075","103,845","$1,042,614","$345,291","$1,578,380","98,685","$637,470","$292,465","$1,040,595","98,685","$931,390","$171,883","$1,268,852","97,442","$998,915","$275,199","$1,540,761"
Hutchinson,"19,989","$305,249","$43,400","$386,128","20,174","$282,055","$34,350","$345,593","20,439","$134,010","$24,300","$174,538","20,439","$119,760","$13,400","$152,018","20,591","$221,337","$14,300","$251,085"
Irion,"1,517","$20,428",$0,"$25,072","1,596","$7,830","$1,500","$14,312","1,584","$2,612",$0,"$3,612","1,584","$7,391",$0,"$8,391","1,652","$3,426",$0,"$4,426"
Jack,"8,937","$72,900","$18,410","$95,978","8,905","$41,220","$14,650","$75,325","9,305","$20,502","$15,080","$38,605","9,305","$43,065","$12,543","$70,075","9,229","$62,564","$6,700","$83,178"
Jackson,"14,995","$386,511","$8,495","$485,600","15,150","$234,761","$15,156","$301,047","14,256","$128,047","$10,393","$157,338","14,256","$138,756","$7,876","$173,548","15,302","$124,744","$13,437","$167,094"
Jasper,"32,395","$188,812","$58,100","$254,912","32,747","$155,011","$42,000","$206,686","35,353","$123,815","$36,484","$169,749","35,353","$124,507","$24,450","$157,957","36,746","$183,532","$44,380","$252,272"
Jeff Davis,"1,956","$2,791",$0,"$14,566","1,972",$930,$0,"$11,775","2,408","$1,936",$0,"$12,995","2,408",$0,$263,"$13,965","2,481","$4,051",$615,"$17,886"
Jefferson,"252,538","$1,762,900","$178,313","$2,167,480","251,890","$1,450,440","$230,207","$1,850,641","250,803","$1,221,776","$163,631","$1,493,290","250,803","$1,356,075","$103,838","$1,587,725","253,046","$1,395,499","$117,375","$1,699,363"
Jim Hogg,"4,656","$1,350",$0,"$48,600","4,815","$1,400",$0,"$40,345","5,079",$0,$0,"$18,468","5,079",$0,$600,"$33,386","5,129",$0,$800,"$38,594"
Jim Wells,"39,008","$67,085","$80,245","$222,596","37,520","$47,550","$102,395","$220,004","39,759","$34,460","$62,565","$121,457","39,759","$48,618","$67,295","$139,108","41,518","$116,295","$54,190","$208,935"
